cruise,lter_station,cast,niskin,date,latitude,longitude,depth
EN608,L3,5,5,2018-02-01 09:26:50,40.857479999999995,-70.8841,30.03748818551369
EN608,L3,5,6,2018-02-01 09:26:57,40.857440000000004,-70.88412,30.139675984012328
EN608,L3,5,7,2018-02-01 09:27:04,40.85742,-70.88414,30.221029340508537
EN608,L3,5,8,2018-02-01 09:27:15,40.85736,-70.88414,29.856923212935197
EN608,L3,5,9,2018-02-01 09:29:30,40.8568,-70.88424,15.078826633859196
EN608,L3,5,10,2018-02-01 09:29:33,40.85678,-70.88425,14.978615688807732
EN608,L3,5,11,2018-02-01 09:29:39,40.856759999999994,-70.88426,15.136373491007225
EN608,L3,5,12,2018-02-01 09:29:52,40.85672,-70.8843,15.059975073687232
EN608,L3,5,13,2018-02-01 09:32:45,40.85608,-70.88436,3.2367280637542524
EN608,L3,5,14,2018-02-01 09:32:54,40.85604,-70.88436,3.2883247854852007
EN608,L3,5,15,2018-02-01 09:33:01,40.85601,-70.88438000000001,2.9926357037373497
EN608,L3,5,16,2018-02-01 09:33:08,40.855979999999995,-70.8844,3.175208878524785
EN608,L3,5,17,2018-02-01 09:33:15,40.855959999999996,-70.88441999999999,3.177193368659722
EN608,L3,5,18,2018-02-01 09:33:23,40.85593,-70.88441999999999,2.9549303538571636
EN608,L3,5,19,2018-02-01 09:33:30,40.855909999999994,-70.88444,3.4738744272167
EN608,L3,5,20,2018-02-01 09:33:37,40.85589,-70.88446,2.911271518996027
EN608,L3,27,1,2018-02-04 14:15:24,40.86251,-70.8818,5.075347820694279
EN608,L4,8,1,2018-02-01 19:20:33,40.695879999999995,-70.88512,61.89769140796072
EN608,L4,8,2,2018-02-01 19:20:46,40.6958,-70.88511,61.73103952664419
EN608,L4,8,3,2018-02-01 19:22:58,40.69526,-70.88492,44.87369932679158
EN608,L4,8,4,2018-02-01 19:23:05,40.695240000000005,-70.88488000000001,44.416360276986076
EN608,L4,8,5,2018-02-01 19:23:12,40.69522,-70.88488000000001,44.00068680519036
EN608,L4,8,6,2018-02-01 19:23:21,40.69518,-70.88484,44.76159679089567
EN608,L4,8,7,2018-02-01 19:25:30,40.694590000000005,-70.8846,29.17676259511775
EN608,L4,8,8,2018-02-01 19:25:45,40.694520000000004,-70.88458,29.331535387003413
EN608,L4,8,9,2018-02-01 19:25:56,40.69446,-70.88457,29.650009802051873
EN608,L4,8,10,2018-02-01 19:26:05,40.69441,-70.88456,29.632151436755038
EN608,L4,8,11,2018-02-01 19:28:14,40.69378,-70.88452,14.964946565394627
EN608,L4,8,12,2018-02-01 19:28:22,40.69375,-70.8845,14.601800101953538
EN608,L4,8,13,2018-02-01 19:28:30,40.69372,-70.88448000000001,14.270403586430087
EN608,L4,8,14,2018-02-01 19:28:37,40.69368,-70.88446,14.33985799043601
EN608,L4,8,15,2018-02-01 19:30:48,40.693059999999996,-70.88426,5.480262310648509
EN608,L4,8,16,2018-02-01 19:30:57,40.693020000000004,-70.88424,5.443549109994974
EN608,L4,8,17,2018-02-01 19:31:03,40.69298,-70.88423,5.283796997996129
EN608,L4,8,18,2018-02-01 19:31:11,40.69294,-70.88424,5.302649738203724
EN608,L4,8,19,2018-02-01 19:31:18,40.6929,-70.88422,5.174649520536931
EN608,L4,8,20,2018-02-01 19:31:25,40.69287,-70.88422,5.372107187132302
EN608,L4,8,21,2018-02-01 19:31:32,40.692820000000005,-70.88421,5.055579478699903
EN608,L4,8,22,2018-02-01 19:31:43,40.69276,-70.8842,5.2877659960789725
EN608,L4,8,23,2018-02-01 19:31:53,40.6927,-70.8842,5.592386369147297
